results/11_C1vsC3_all_genes.csv
"gene","logFC","t"
"CHRNA5",-0.000742840310323345,-0.00656717856780895
"ZNF714",-0.000536452170473822,-0.00739673522257669
"C10orf118",-0.000252399165009187,-0.00749783595805321
"BBX",-0.000151003929472537,-0.00788550469799924
"RFC4",-0.000287410069763183,-0.00808370846152273
"C4orf39",-0.00188673653849047,-0.00838279870533819
"SCO1",-0.000188134211740021,-0.00872034863848215
"MAD2L1",-0.000308481665023841,-0.00880186181913682
"TNMD",-0.00419606642844883,-0.00897509668720919
"CCDC45",-0.000225930585316725,-0.0090923858666786
"UBE2T",-0.000454262859955534,-0.00921392849420415
"OR2AE1",-0.00339070722315493,-0.00946767141227652
"TXNDC6",-0.0031164392112113,-0.0102380403216154
"KIAA0947",-0.000284388035150407,-0.0102631199399973
"DRD4",-0.00268082835655115,-0.0107194205345707
"HNRNPH1",-0.000185214285677304,-0.0107438132676009
"EIF2AK4",-0.000205001211933009,-0.0110961996850501
"TSEN2",-0.000364119709786337,-0.0111363203871326
"SAP30",-0.000374328137882074,-0.0111457828270499
"C6orf218",-0.00488053535025745,-0.0113833188054348
"MYL4",-0.00259064794293584,-0.0116828922495329
"ABLIM1",-0.000362484342451452,-0.0118127583026754
"PLAG1",-0.00164266760742215,-0.0118346051953559
"MPZL3",-0.00118322936683324,-0.0127863023488389
"SRP72",-0.000228124137494845,-0.013403316475455
"TDH",-0.005721907257346,-0.0136431244425675
"NDUFS7",-0.000423886574174581,-0.0138349660066663
"TNRC6C",-0.000555449051358181,-0.0139062165369564
"HIST1H2BK",-0.00062914918113588,-0.0140234152203543
"STT3B",-0.000401444366234571,-0.0140579404024226
"COL6A2",-0.000442136331716192,-0.0141911709435724
"KDM5D",-0.00354741107032214,-0.0144406653551058
"AMDHD2",-0.000617238060715231,-0.0147179309753501
"SLC39A11",-0.0005152635782526,-0.015414149124146
"SIRT7",-0.000438453645852377,-0.0155757096364026
"PRSS3",-0.00646964696163987,-0.0156846132107585
"DDX39",-0.000458433215879239,-0.0158780063492046
"SNORA37",-0.00243403692973504,-0.0162138387878873
"PSMD2",-0.000324435473750384,-0.016423900212225
"PPP4R2",-0.000521604042731383,-0.0166920824399524
"MAP3K11",-0.000350299366414397,-0.0168292592155612
"TBX15",-0.00116631854129334,-0.0175037197289516
"WDR17",-0.00634338354881159,-0.0177827199016285
"HIATL2",-0.00104565360327946,-0.0178529493406201
"ACLY",-0.000423067119866616,-0.0178992017267008
"SERHL",-0.0009225138979021,-0.0181109539817903
"PCCA",-0.000843355603457496,-0.0182573144736868
"UNC50",-0.000381049594436078,-0.0187100282471224
"CHRNA3",-0.00486840015844958,-0.0191925288893746
"FAF1",-0.000375299801217643,-0.0193093200050875
"THRSP",-0.00564679317130334,-0.0193194474418253
"RAD54L2",-0.00125757959619666,-0.019703214643097
"MAPK12",-0.00125718914895767,-0.0197441905191202
"LGALS3",-0.000690366174290524,-0.0198866999439661
"CCL14",-0.00312148175296745,-0.0202174145153408
"IQCG",-0.000874456091125353,-0.0204854429661354
"MGAT5",-0.00197892583063908,-0.0206525237103845
"MATN3",-0.00255809647349103,-0.0211619960259366
"ZNF618",-0.000620358245102537,-0.0212177338999653
"ECHS1",-0.000582434675810539,-0.0215205403898126
"GPR179",-0.00411814977730529,-0.0219394967391675
"ATP1A2",-0.00749020597167949,-0.0219563504262329
"SNAP25",-0.00429451282002002,-0.0219733555164237
"ARMC6",-0.000650135375974692,-0.0223919378807927
"ADAM7",-0.00360855013197445,-0.0224209267571385
"COL6A4P2",-0.0077255451530478,-0.0228907514153229
"C1orf110",-0.00832498917075752,-0.0230593949914214
"IQCH",-0.00211642783063759,-0.0234621166058626
"BSX",-0.0022360635558579,-0.0235010056076783
"NCRNA00176",-0.00276353270258944,-0.0239151750022495
"CALR3",-0.00797276192375485,-0.0239833606356878
"KATNAL1",-0.000915665235355689,-0.0240869590342935
"FUBP1",-0.00047543746451062,-0.0240919266661785
"IGSF5",-0.00717738089496134,-0.0241684621392967
"TMTC1",-0.00177108535280279,-0.0242073751092247
"RRAGD",-0.00131395238358589,-0.0242106535042173
"TSPAN18",-0.00100731475708127,-0.0243284162224877
"TMBIM1",-0.00065588735555977,-0.0244359543377348
"IDH3B",-0.000554418135561896,-0.025418705250223
"CLIP2",-0.000771138607212229,-0.0256703705345781
"ZNF695",-0.00230505862709762,-0.0262024653420854
"KRT16",-0.00533781880479189,-0.0264238733275553
"YME1L1",-0.000474824462015633,-0.0264952214219796
"HRNR",-0.00785888020776149,-0.0264969845765079
"MAGEB6",-0.00954681342541375,-0.0266134686889295
"IQCB1",-0.000761814535246153,-0.0268317956882518
"TTL",-0.000579971223416464,-0.0268391870176886
"SFN",-0.00199867866535453,-0.0268559188124547
"AGAP8",-0.00246378891394183,-0.0269116459244466
"ARHGAP20",-0.00286331599001155,-0.0271669802164637
"ARL2BP",-0.000436507815639864,-0.0272734007141313
"PRR5-ARHGAP8",-0.00276512086008385,-0.0274797738820694
"TRAPPC10",-0.000520387624911578,-0.0275241820120452
"XG",-0.0029549578964172,-0.0276485160085389
"RIC3",-0.00548280811901236,-0.0276711672252086
"MARS2",-0.0007431192355698,-0.0279651886470797
"CHRND",-0.00703460056114641,-0.0289513088490124
"DGKD",-0.000772045557198453,-0.0289644681217462
"EXOSC10",-0.000436574719588023,-0.0294403001523716
"FLJ44635",-0.00226528587720853,-0.0296797952228275
"VEGFC",-0.00148726172210889,-0.0297454404736979
"LPAR2",-0.000915624355167566,-0.0298336606694565
"C14orf86",-0.00808768673569005,-0.0303220049046324
"CHRNA9",-0.0131727448639793,-0.0305795847030788
"MMGT1",-0.000744149679380968,-0.0306826930963341
"SERPINA3",-0.00198713326042821,-0.0309607486680541
"SOX2",-0.0151134478194512,-0.0311630824288752
"IKBKB",-0.000784983856454424,-0.0312936550398009
"C21orf29",-0.0128994136883067,-0.0313648258849288
"SFMBT1",-0.000840256287078844,-0.0315488723762423
"SLIT2",-0.0026127940217151,-0.0316189933285031
"NPEPL1",-0.00105345625841213,-0.0318212319110926
"TSPAN2",-0.00247452871810161,-0.031956273491105
"INCENP",-0.00114797265745725,-0.0326954482805998
"DNAH7",-0.00812343183217212,-0.0328586444989485
"PODN",-0.00199426515497603,-0.0328597073851607
"DGKQ",-0.00117966288564286,-0.0329233171712195
"DDN",-0.00682503556990444,-0.033133687890775
"IVD",-0.00133161995985009,-0.0332613336835548
"SNORA47",-0.00488192907652193,-0.0333897177510449
"EIF3J",-0.000562145364008337,-0.0333972695784527
"LOC93432",-0.016851654265897,-0.0334414229345203
"PLCB4",-0.00183582346625144,-0.0335297524008414
"C8orf55",-0.00124857138916035,-0.0335590093014276
"EGR4",-0.0128474133677177,-0.0341296948109833
"MKI67IP",-0.000583831082903608,-0.0347152805634519
"PPP2CB",-0.000635970341670067,-0.0350995255944066
"LGI1",-0.0133483733079418,-0.0351585040927311
"ARHGEF38",-0.00804946127592743,-0.0351803805219603
"TMEM66",-0.000735539993937273,-0.035378866382277
"KRT80",-0.00231000649460444,-0.0354091824414744
"GTF2H2C",-0.00132538582983077,-0.035879390357675
"DTNA",-0.00343859085067688,-0.0358956358473685
"EPC1",-0.00100130937376175,-0.0360324338356461
"AQP7",-0.0111479006603492,-0.0363459837611692
"C12orf75",-0.00198358480047478,-0.0364524028403992
"LRRC70",-0.00244950033162095,-0.0366036814632865
"FAM176A",-0.00271743447104633,-0.0368265806827056
"GRPEL1",-0.000873603604380158,-0.037029569680798
"MOV10L1",-0.0119969671035682,-0.037377573328131
"VPS13D",-0.000835484598146863,-0.0375363132358813
"ZFP91",-0.000639373411501332,-0.0375959278085062
"C6orf145",-0.00189324548590353,-0.0385175351441476
"CIZ1",-0.000631171314280365,-0.0385181875153887
"LOC100134713",-0.00203948366319828,-0.0385404014769783
"TCERG1",-0.000767126911324745,-0.038617033320302
"USP33",-0.000736375854172522,-0.0387256417807764
"C11orf34",-0.0163993115027656,-0.0389938181416168
"CREG1",-0.00100699973032903,-0.0390440521910429
"FAM50A",-0.00100890774212292,-0.0399487549767475
"TLX2",-0.0161388621949441,-0.0402963786904107
"C20orf195",-0.0126991019094818,-0.0405586967552208
"ZNF214",-0.00737153159154857,-0.0407374667525322
"MAML1",-0.000706660119484503,-0.0407754890094406
"ATP10B",-0.00971670533750935,-0.0408490504774678
"RFPL4A",-0.0151537567716249,-0.0408926333835767
"GATC",-0.00252486302576926,-0.0409086137623449
"FAM3B",-0.0119503986361087,-0.0410269284322575
"NAA16",-0.00108126245223783,-0.0412840939269494
"SLC22A7",-0.0103659797048394,-0.0415677896277739
"CRYBA1",-0.0115645955861662,-0.0416613230123033
"CT45A2",-0.0126592121407306,-0.042170264832765
"CSDAP1",-0.00261868897292139,-0.0422099011141553
"SEC61A2",-0.00200073592101013,-0.0425480382127217
"NCOR1",-0.000715359300148322,-0.0429994197796879
"PPTC7",-0.00170357398252641,-0.0432110421497551
"PDE6A",-0.015159073387117,-0.0434934457554598
"SHE",-0.00225750088235177,-0.0435633326351915
"MUC2",-0.0206090648209729,-0.0440870951139228
"NIPA2",-0.000783688206111854,-0.0443841303116587
"PTF1A",-0.0108724641092054,-0.044830910751886
"NOP14",-0.000835070519685566,-0.0449738111652131
"GAGE1",-0.0145948951226256,-0.0451174067261597
"GREB1",-0.00564413047063006,-0.0457258183604826
"ZNF486",-0.00581681862535088,-0.045875262462431
"SEPT7",-0.00058185824035295,-0.0461724045386132
"LOC100128822",-0.00243321000352115,-0.046277684184706
"CLIP1",-0.00095066562829782,-0.046495347987028
"DSCC1",-0.00196866798625894,-0.0466637883136172
"ZNF692",-0.0025349502060461,-0.04696804535122
"GMEB1",-0.00134272891815801,-0.0478882609588208
"CDH5",-0.00159148807469123,-0.0480010581078128
"GPR22",-0.016841563940972,-0.0480251783832782
"ZP4",-0.0225644834840402,-0.0481595368948991
"DKFZp566F0947",-0.0173961805702074,-0.0483325458184604
"TMEM38B",-0.00276269740736446,-0.0483987047413321
"KIAA1529",-0.00415075860433856,-0.0484944082932105
"ZSCAN20",-0.00282728531388443,-0.048535109658221
"ZFP36L1",-0.000944269731972369,-0.0485361271425614
"SLC15A2",-0.00286230889923278,-0.0486193964471841
"USP5",-0.00114431221551303,-0.0494530165930398
"SLC24A2",-0.0192064151341365,-0.0498869843308286
"GRM7",-0.0191459472802202,-0.0503229451958546
"TAS2R1",-0.0141248957067828,-0.0503294344304987
"MLF1IP",-0.00179621959917409,-0.0503753249391113
"ANKRD30B",-0.0267803745308504,-0.0504378461907509
"INSL4",-0.0156709392135763,-0.0509382275513512
"C2orf52",-0.00685946082501854,-0.0509435497876755
"DNAJC18",-0.00246993773131177,-0.05118679429456
"RAB4B",-0.00137925334276545,-0.0512691831564667
"ACCS",-0.00210089000464375,-0.0514072856182956
"ACAT2",-0.00284572492054913,-0.0514268352978259
"HELZ",-0.000942574012282371,-0.0516739065499215
"XPOT",-0.00104661651195848,-0.0518470787412843
"SBF1",-0.00149468234410843,-0.0522091910588143
"PECI",-0.00267170857993904,-0.0523681380542816
"ITPKA",-0.013319402358829,-0.0524622820244541
"POLR3A",-0.00135187027737338,-0.0526259615680576
"LARS",-0.000883588821107395,-0.0526680972080616
"SCARNA21",-0.00725472526836535,-0.0533271785009708
"OPN3",-0.00233407286863496,-0.0534312255605735
"TGFB2",-0.00559641745794881,-0.0534389544677142
"PGLYRP2",-0.0271187541471414,-0.0535961666386505
"EMP1",-0.0018383608568513,-0.0541350035157578
"?|100133144",-0.0163077510841987,-0.0543445972756552
"SSX6",-0.0152516708487626,-0.054759317568972
"CRCT1",-0.0231934371864785,-0.054940660348358
"AFM",-0.00499622636847115,-0.055248737294517
"C18orf16",-0.0235616877810143,-0.0553560464066616
"EPB41L4B",-0.00216567256072953,-0.055528037140166
"GALK1",-0.00218630036553336,-0.0558587054968589
"VASN",-0.00278794980000985,-0.0559363633835296
"OR2L1P",-0.0128047230540842,-0.0561006962081374
"CYP2D6",-0.0134138639117038,-0.0561801617350677
"KRAS",-0.00135417177850439,-0.0563354812191473
"FUT2",-0.00545275603341722,-0.0564201692071385
"FMOD",-0.00279910245220538,-0.0564599341726158
"CLDN6",-0.0231056425474159,-0.056708333933708
"QRFP",-0.0175876784632423,-0.0568645623294235
"PRSS42",-0.0140354737445582,-0.0568908216618506
"HIGD2A",-0.00153771633237643,-0.0571062502629152
"OXA1L",-0.00119058668274086,-0.0576396682227557
"HMGA2",-0.0220094418685504,-0.0580683590864313
"ASPHD1",-0.00616226736855019,-0.0581123722320563
"C4orf17",-0.00867463300753832,-0.0581946308141499
"ZNF354A",-0.00160447116997986,-0.0586003140351776
"OGT",-0.00102497872434171,-0.0586579529507925
"C3orf24",-0.026895372961719,-0.0586792442119036
"PTPRR",-0.0175936915559927,-0.0588564423730949
"PDYN",-0.0231138679866856,-0.0588845111579038
"TMEM211",-0.0275072355850732,-0.059182639224406
"IGSF9B",-0.0209046596530174,-0.0594793069126235
"S100A16",-0.00286769625197536,-0.0596364389984265
"SLC35A5",-0.00127720204173798,-0.0599128703142047
"HAPLN1",-0.0144188119571531,-0.0607159459196031
"FADS3",-0.00234047950201877,-0.0612616465595024
"ANKRD36",-0.00273487002470763,-0.0616274111034461
"MAGEA12",-0.0337938657379409,-0.061831941438194
"RNF122",-0.00190547369205163,-0.0619471708792765
"FRMPD4",-0.0301845635336131,-0.0622020731189375
"SEBOX",-0.0107998372600584,-0.0622547036120498
"FAM188B",-0.00312216325691494,-0.0622639674288641
"LOC100190986",-0.00369750236723121,-0.0624800892289028
"CAP2",-0.00350029916082661,-0.0625304786852671
