"patient","Kynurenine","Glycolysis","Glutamine","Adenosine","Tryptophan_metabolism","Hypoxia","EMT","Stemness","T_cell","NK_cell","Treg","Macrophage","Cytotoxicity","Exhaustion","Checkpoint","IFNG_response","IDO1","TDO2","Down_score","cluster","CD8frac","LymphFrac","resid_kyn_cd8","resid_kyn_lym"
"TCGA-BH-A0BG",0.310725169174548,1.59108787121824,0.895857627600922,0.0146092886997006,-1.13968194643796,-0.757538867599828,-0.115509531741559,-1.27221630762775,0.779593898232237,0.715858537783431,0.652947044166082,-0.028677896024324,0.820156253141265,0.89867282226774,0.778409103054126,1.28486163026863,6.49728785337633,5.38041781635453,-0.840120954989638,"C3",0.116872499039021,0.596483221833213,0.520937810231167,0.272591546198926
"TCGA-D8-A1JL",-0.300587489603412,-0.317420058104578,-0.435442078012636,-0.832833879693643,0.808567634806761,-0.924477815169414,1.03237514331168,-0.416188908179942,0.773626982069193,0.983629986575509,1.11583536541528,0.952679611265049,0.75539953982733,0.927234588005217,1.10586276696133,0.863592992199883,6.31244271789008,5.86885373295538,0.383962368265782,"C3",0.0647217085681125,0.506077583458901,-0.332729421082191,-0.186290448613402
"TCGA-BH-A0E6",0.348348884264187,0.979976619796687,0.0859338426889977,0.0905033129169258,0.820548117834558,-0.347908691786266,-0.440929514033894,0.806516515015697,-0.0856075378043332,0.271890888405493,0.030755834516066,-0.783249817340946,0.0851332890394315,0.618643243383068,-0.152660643814045,-0.748852996576456,5.7773301282962,5.08532331416107,-0.58839047331382,"C2",0.151554640701224,0.614167932639664,0.71973598770684,0.280397516967061
"TCGA-B6-A0RG",1.51408599604739,-0.508831837341285,1.53784414093254,0.328672127879436,-0.922920416164505,-0.753624624843858,-0.0894735060870127,-0.332625248650552,-2.28845935540309,-2.13443624529849,-2.54485946745657,-1.60722294883445,-2.51321199028334,-2.14450356359789,-2.1071992178112,-0.841699660544739,5.34571311362931,5.52882189422304,0.150190314453814,"C1",0.0281066312433674,0.660385092680701,1.31178688510381,1.36820904226756
"TCGA-B6-A0RS",-1.03389360221211,-1.03935886225524,-0.225351107095634,-0.867816216706258,0.32992679356606,-0.0905723061185977,0.0540914889430417,-1.04793797022126,0.365029640132965,-0.50806245966105,0.35527763942531,0.287594742249707,0.393408593016377,0.28687721824752,0.324675517014251,0.413859396613062,6.06635060780042,5.8173460623573,1.63095177386237,"C3",0.0951675179421537,0.563298054557509,-0.924548107523188,-1.01607455262651
"TCGA-AN-A0XU",0.354081139337065,-0.915553450425095,-1.65737060328712,1.18678097640775,-0.25377345786966,1.06703806811545,-0.6864556342724,-2.05270603219095,0.0681336281902918,0.884131148606801,-0.128124767983569,-0.187566269312368,0.635867895091125,0.22848113760071,0.279548921223575,0.422222728278175,6.18000369651944,4.9671167913464,-0.709820292151193,"C2",0.0268104273173643,0.626649185414288,0.145758323947816,0.265085446909666
"TCGA-D8-A142",1.09914997538136,-0.672137170525382,0.610975589925789,-0.910691579946103,-1.18011727113082,-0.176864020661115,1.16767596850471,1.92130760801632,-0.0201978424321473,-0.886546376402537,-0.290732628163907,0.424226374378596,-0.429889843414928,0.175768846311428,-0.265209428691221,-0.652778026162926,5.64463647793555,5.29654833489085,-0.681972559218481,"C2",0.0847799722330828,0.64355280874566,1.16022258336461,0.981653510500396
"TCGA-C8-A131",-1.41832475391029,-2.01406142925939,0.0928589508892389,-0.310367350530225,0.828235054684499,0.86825540802416,1.34525594657879,0.457510882594127,-0.244941788518457,0.245847508897407,-0.158950909615955,-0.00627099558375401,0.109029568764419,-0.980617019113229,-0.683978023074242,-0.86403166297124,5.47805239871512,6.17845979175069,1.44546198177992,"C2",0.0987287533781272,0.492802162030419,-1.29242952557419,-1.28164436007685
"TCGA-E2-A1AZ",0.284283533812213,0.879686408145971,0.214845323575023,-0.292122774219182,0.386943369131073,0.266709411757708,0.915183105326288,1.13292474917167,0.712676069977916,0.476813002015194,0.74863673031315,0.273657894943993,0.468117032064096,0.974792141165338,0.839557997624013,0.481116998554441,5.98520627312626,5.79558574961454,-0.728427273508746,"C3",0.0409819803954731,0.566502639489417,0.141818602021558,0.296699413665383
"TCGA-A2-A0SX",0.492232404567603,-0.0939403925663193,-0.0320876641199999,-0.237757646250266,0.262177097377935,-0.186218482685549,0.671997255117407,0.836712902034797,0.935311118469284,0.516559598817701,0.926059200518272,0.45926680609149,0.649891951509498,0.807252866102262,0.816147736656068,0.585930571890991,6.17872519770252,5.42452485934083,-0.669714965092469,"C3",0.0884439100837873,0.584105111923645,0.570332023715694,0.474969200142016
